date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-07-09,CZ,Signature Cozy,5.0,0.0,3.0,5.0,3.0
2026-07-09,MM,Malibu Mornings,5.0,0.0,5.0,5.0,3.0
2026-07-09,CZ,Signature Cozy,5.0,0.0,5.0,4.0,5.0
2026-07-08,GH,Golden Hour,4.0,-1.0,3.0,4.0,4.0
2026-07-08,CZ,Signature Cozy,3.0,0.0,4.0,2.0,2.0
2026-07-08,CZ,Signature Cozy,5.0,0.0,5.0,5.0,3.0
2026-07-08,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-08,CZ,1 Pack,5.0,,,,
2026-07-08,CZ,Signature Cozy,5.0,0.0,4.0,4.0,4.0
2026-07-08,SD,Sugar Dew,1.0,-1.0,2.0,4.0,4.0
2026-07-08,AW,Alpine Woods,5.0,0.0,5.0,5.0,3.0
2026-07-08,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-07-07,CC,Central Coast,4.0,0.0,3.0,4.0,4.0
2026-07-07,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-07-07,MM,Malibu Mornings,1.0,-1.0,2.0,3.0,1.0
2026-07-07,DP,Desert Poppy,5.0,0.0,5.0,5.0,2.0
2026-07-07,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,4.0
2026-07-07,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-07-07,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-07,CC,Central Coast,2.0,1.0,1.0,5.0,1.0
2026-07-07,CZ,Signature Cozy,5.0,0.0,5.0,3.0,3.0
2026-07-07,CZ,Signature Cozy,5.0,0.0,5.0,4.0,5.0
2026-07-07,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-07-07,MM,Malibu Mornings,5.0,0.0,5.0,4.0,5.0
2026-07-06,VM,1 Pack,5.0,,,,
2026-07-06,DP,Desert Poppy,4.0,0.0,5.0,4.0,1.0
2026-07-06,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-06,CZ,Signature Cozy,1.0,-1.0,5.0,1.0,3.0
2026-07-06,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-07-06,SD,Sugar Dew,3.0,-1.0,5.0,4.0,3.0
